Tempo_Decorrido_S,System_Total_CPU_Percent,System_Used_Memory_GB
0.0,100.0,4.45
0.55,99.5,4.48
1.05,100.0,4.48
1.55,52.1,4.5
2.05,100.0,4.51
2.55,99.8,4.51
3.05,99.8,4.51
3.55,89.0,4.52
4.06,67.4,4.53
4.56,99.8,4.53
5.06,79.9,4.52
5.56,100.0,4.52
6.07,99.8,4.52
6.57,87.8,4.51
7.07,97.3,4.52
7.58,90.6,4.52
8.08,86.0,4.52
8.58,36.3,4.52
9.08,76.3,4.51
9.58,86.1,4.51
10.09,99.5,4.51
10.59,36.2,4.52
11.09,72.8,4.52
11.59,64.9,4.52
12.09,56.1,4.53
12.6,77.8,4.53
13.1,100.0,4.53
13.6,54.4,4.53
14.1,31.0,4.52
14.6,100.0,4.52
15.1,100.0,4.51
15.67,99.8,4.51
16.17,100.0,4.51
16.67,100.0,4.52
17.18,100.0,4.52
17.68,100.0,4.52
18.25,99.8,4.53
18.79,100.0,4.53
19.29,99.7,4.53
19.79,84.5,4.54
20.29,91.3,4.54
20.79,42.5,4.55
21.3,100.0,4.55
21.84,100.0,4.54
22.34,100.0,4.54
22.84,97.5,4.53
23.34,99.8,4.53
23.84,100.0,4.53
24.35,99.5,4.53
24.86,87.1,4.53
25.36,100.0,4.52
25.86,98.0,4.52
26.36,94.7,4.53
26.86,86.8,4.53
27.36,99.5,4.54
27.87,96.5,4.55
28.37,4.0,4.55
28.87,68.2,4.55
29.38,99.0,4.56
29.88,99.8,4.54
30.38,99.8,4.54
30.88,96.5,4.54
31.41,99.8,4.55
31.92,100.0,4.54
32.42,96.6,4.54
32.93,99.8,4.53
33.43,64.3,4.54
33.93,10.1,4.53
34.44,99.8,4.53
34.94,95.5,4.53
35.44,93.7,4.53
35.94,93.6,4.54
36.45,100.0,4.54
36.95,48.0,4.54
37.45,78.4,4.54
37.96,59.8,4.53
38.49,99.8,4.53
39.0,93.1,4.54
39.5,98.0,4.54
40.0,77.1,4.54
40.51,99.7,4.54
41.01,99.0,4.54
41.51,97.0,4.54
42.01,100.0,4.54
42.51,99.5,4.55
43.02,57.6,4.55
43.52,97.3,4.56
44.02,99.2,4.55
44.52,11.5,4.56
45.02,2.5,4.55
45.52,31.8,4.55
46.02,1.5,4.55
46.52,0.5,4.55
47.02,32.6,4.53
47.52,75.4,4.53
48.03,99.5,4.53
48.53,94.0,4.53
49.04,97.3,4.53
49.54,1.5,4.52
50.04,5.0,4.52
50.54,38.2,4.52
51.04,1.0,4.52
51.54,76.5,4.52
52.04,60.1,4.52
52.55,89.6,4.52
53.06,97.1,4.52
53.56,34.9,4.52
54.06,65.9,4.52
54.56,57.6,4.52
55.06,25.8,4.52
55.56,31.4,4.53
56.06,22.7,4.52
56.57,11.5,4.52
57.07,0.5,4.52
57.57,20.7,4.52
58.07,83.0,4.52
58.57,0.2,4.52
59.07,3.8,4.51
59.57,2.5,4.43
60.07,0.5,4.43
60.57,0.0,4.43
61.07,0.2,4.43
61.57,0.0,4.43
62.08,0.0,4.43
62.58,0.3,4.43
63.08,0.0,4.43
63.58,0.2,4.43
64.08,0.0,4.43
64.58,0.2,4.43
65.08,0.5,4.43
65.58,1.0,4.42
66.08,2.5,4.43
66.58,0.0,4.43
67.08,0.7,4.43
67.58,0.5,4.43
68.09,10.3,4.43
68.59,21.7,4.57
69.09,3.8,4.59
69.59,2.5,4.62
70.09,1.7,4.62
70.59,0.2,4.62
71.09,2.3,4.63
71.59,4.0,4.63
72.09,58.7,4.81
72.59,6.7,4.83
73.09,2.0,4.83
73.59,3.3,4.83
74.09,54.2,4.86
74.59,13.6,4.9
75.1,1.8,4.9
75.6,4.3,4.92
76.1,33.2,4.94
76.6,64.9,5.03
77.1,10.6,5.03
77.6,2.5,5.02
78.1,3.5,5.02
78.6,4.0,5.02
79.1,3.3,4.97
79.6,2.5,4.97
80.1,1.7,4.96
80.6,1.5,4.96
81.1,2.0,4.93
81.6,0.7,4.94
82.11,0.0,4.93
82.61,0.0,4.93
83.11,3.3,4.92
83.61,0.5,4.92
84.11,0.0,4.91
84.61,0.7,4.9
85.11,0.5,4.91
85.61,2.0,4.91
86.11,0.5,4.89
86.61,0.0,4.87
87.11,2.7,4.87
87.61,6.7,4.89
88.11,14.0,4.96
88.62,29.1,5.09
89.12,83.0,5.55
89.62,67.0,5.95
90.12,4.8,5.95
90.62,4.3,5.96
91.12,9.0,5.95
91.62,14.3,5.55
92.12,5.5,5.58
92.62,2.0,5.58
93.12,4.3,5.59
93.62,3.3,5.58
94.12,2.5,5.58
94.62,43.1,5.66
95.12,22.6,5.82
95.63,8.6,5.82
96.13,2.3,5.81
96.63,3.8,5.78
97.13,4.8,5.78
97.63,15.9,4.45
98.13,0.5,4.45
98.63,7.8,4.46
99.13,29.1,4.7
99.63,15.2,4.83
100.13,36.3,4.94
100.63,76.3,5.38
101.13,19.4,5.46
101.63,12.9,5.4
102.14,15.3,5.36
102.64,31.7,5.47
103.14,58.9,5.47
103.64,80.8,5.7
104.14,79.6,5.71
104.64,47.6,5.72
105.14,42.4,5.68
105.64,39.2,5.75
106.14,33.6,5.76
106.64,34.2,5.82
107.14,50.4,5.85
107.64,30.3,5.85
108.14,23.6,5.91
108.64,25.1,4.5
109.14,0.2,4.49
109.64,0.2,4.49
110.15,0.5,4.49
110.65,0.2,4.48
111.15,18.5,4.59
111.65,30.8,4.85
112.15,17.4,4.91
112.65,61.4,5.23
113.15,33.3,5.33
113.65,29.7,5.45
114.15,27.0,5.46
114.65,50.6,5.57
115.15,60.4,5.74
115.65,77.7,5.85
116.15,75.1,5.99
116.65,67.8,5.97
117.15,43.9,6.04
117.66,25.1,5.93
118.16,27.4,5.98
118.66,11.3,5.99
119.16,11.1,5.98
119.66,7.5,5.98
